=== Tenant Migration Log Started: 2026-01-17T07:29:34.603968300 ===
[07:29:34] [4] [products] 49 -> 49 [OK]
[07:29:34] [4] [products] 50 -> 50 [OK]
[07:29:34] [4] [products] 51 -> 51 [OK]
[07:29:34] [4] [products] 52 -> 52 [OK]
[07:29:34] [4] [products] 53 -> 53 [OK]
[07:29:35] [4] [products] 54 -> 54 [OK]
[07:29:35] [4] [products] 55 -> 55 [OK]
[07:29:35] [4] [products] 56 -> 56 [OK]
[07:29:35] [4] [products] 57 -> 57 [OK]
[07:29:35] [4] [products] 58 -> 58 [OK]
[07:29:35] [4] [products] 59 -> 59 [OK]
[07:29:35] [4] [products] 6 -> 6 [OK]
[07:29:35] [4] [products] 60 -> 60 [OK]
[07:29:35] [4] [products] 61 -> 61 [OK]
[07:29:35] [4] [products] 62 -> 62 [OK]
[07:29:35] [4] [products] 63 -> 63 [OK]
[07:29:35] [4] [products] 64 -> 64 [OK]
[07:29:35] [4] [products] 65 -> 65 [OK]
[07:29:35] [4] [products] 66 -> 66 [OK]
[07:29:35] [4] [products] 67 -> 67 [OK]
[07:29:35] [4] [products] 68 -> 68 [OK]
[07:29:35] [4] [products] WARNING: Collision. Renaming 69 -> 69_1768627775095
[07:29:35] [4] [products] 69 -> 69_1768627775095 [OK]
[07:29:35] [4] [products] 70 -> 70 [OK]
[07:29:35] [4] [products] 71 -> 71 [OK]
[07:29:35] [4] [products] WARNING: Collision. Renaming 73 -> 73_1768627775105
[07:29:35] [4] [products] 73 -> 73_1768627775105 [OK]
[07:29:35] [4] [products] 74 -> 74 [OK]
[07:29:35] [4] [products] 75 -> 75 [OK]
[07:29:35] [4] [products] 76 -> 76 [OK]
[07:29:35] [4] [products] 77 -> 77 [OK]
[07:29:35] [4] [products] 78 -> 78 [OK]
[07:29:35] [4] [products] 79 -> 79 [OK]
[07:29:35] [4] [products] 8 -> 8 [OK]
[07:29:35] [4] [products] 80 -> 80 [OK]
[07:29:35] [4] [products] 81 -> 81 [OK]
[07:29:35] [4] [products] 82 -> 82 [OK]
[07:29:35] [4] [products] 83 -> 83 [OK]
[07:29:35] [4] [products] 84 -> 84 [OK]
[07:29:35] [4] [products] 85 -> 85 [OK]
[07:29:35] [4] [products] 86 -> 86 [OK]
[07:29:35] [4] [products] 87 -> 87 [OK]
[07:29:35] [4] [products] 88 -> 88 [OK]
[07:29:35] [4] [products] 89 -> 89 [OK]
[07:29:35] [4] [products] 9 -> 9 [OK]
[07:29:35] [4] [products] 90 -> 90 [OK]
[07:29:35] [4] [products] 91 -> 91 [OK]
[07:29:35] [4] [products] 92 -> 92 [OK]
[07:29:35] [4] [products] 93 -> 93 [OK]
[07:29:35] [4] [products] 94 -> 94 [OK]
[07:29:35] [4] [products] 95 -> 95 [OK]
[07:29:35] [4] [products] 96 -> 96 [OK]
[07:29:35] [4] [products] 97 -> 97 [OK]
[07:29:35] [4] [products] 98 -> 98 [OK]
[07:29:35] [4] [products] 99 -> 99 [OK]
[07:29:35] [4] [users] WARNING: Collision. Renaming 18 -> 18_1768627775281
[07:29:35] [4] [users] 18 -> 18_1768627775281 [OK]
[07:29:35] [4] [users] WARNING: Collision. Renaming 36 -> 36_1768627775296
[07:29:35] [4] [users] 36 -> 36_1768627775296 [OK]
[07:29:35] [4] [users] WARNING: Collision. Renaming 6 -> 6_1768627775299
[07:29:35] [4] [users] 6 -> 6_1768627775299 [OK]
[07:29:35] [5] [categories] WARNING: Collision. Renaming 36 -> 36_1768627775415
[07:29:35] [5] [categories] 36 -> 36_1768627775415 [OK]
[07:29:35] [5] [categories] WARNING: Collision. Renaming 37 -> 37_1768627775420
[07:29:35] [5] [categories] 37 -> 37_1768627775420 [OK]
[07:29:35] [5] [categories] 66 -> 66 [OK]
[07:29:35] [5] [customers] WARNING: Collision. Renaming 86 -> 86_1768627775433
[07:29:35] [5] [customers] 86 -> 86_1768627775433 [OK]
[07:29:35] [5] [customers] 96 -> 96 [OK]
[07:29:35] [5] [customers] 97 -> 97 [OK]
[07:29:35] [5] [products] WARNING: Collision. Renaming 152 -> 152_1768627775458
[07:29:35] [5] [products] 152 -> 152_1768627775458 [OK]
[07:29:35] [5] [users] WARNING: Collision. Renaming 259 -> 259_1768627775476
[07:29:35] [5] [users] 259 -> 259_1768627775476 [OK]
[07:29:35] [5] [users] WARNING: Collision. Renaming 262 -> 262_1768627775497
[07:29:35] [5] [users] 262 -> 262_1768627775497 [OK]
[07:29:35] [5] [users] WARNING: Collision. Renaming 34 -> 34_1768627775503
[07:29:35] [5] [users] 34 -> 34_1768627775503 [OK]
[07:29:35] [7] [customers] 63 -> 63 [OK]
[07:29:35] [7] [customers] 66 -> 66 [OK]
[07:29:35] [7] [customers] 70 -> 70 [OK]
[07:29:35] [7] [customers] 71 -> 71 [OK]
[07:29:35] [7] [customers] 72 -> 72 [OK]
[07:29:35] [7] [customers] 73 -> 73 [OK]
[07:29:35] [7] [customers] 74 -> 74 [OK]
[07:29:35] [7] [customers] 75 -> 75 [OK]
[07:29:35] [7] [customers] 77 -> 77 [OK]
[07:29:35] [7] [products] 139 -> 139 [OK]
=========================================
MIGRATION SUMMARY
Total Tenants Processed: 124
Total Files Moved: 161
Errors: 0
=========================================
